Loan_id,accm_txn_complete_time
83357,5/18/2022 0:00
75499,5/19/2022 0:00
66203,5/20/2022 0:00
71698,5/21/2022 0:00
98346,5/16/2022 0:00
99851,5/17/2022 0:00
117540,5/18/2022 0:00
87207,5/19/2022 0:00
12477,5/20/2022 0:00
102317,5/21/2022 0:00
42621,5/16/2022 0:00
62269,5/17/2022 0:00
9056,5/18/2022 0:00
10394,5/19/2022 0:00
36705,5/20/2022 0:00
15595,5/21/2022 0:00
78752,5/16/2022 0:00
44945,5/17/2022 0:00
19706,5/18/2022 0:00
27320,5/19/2022 0:00
32683,5/20/2022 0:00
121206,5/21/2022 0:00
54433,5/16/2022 0:00
39184,5/17/2022 0:00
51336,5/18/2022 0:00
34756,5/19/2022 0:00
6502,5/20/2022 0:00
14493,5/21/2022 0:00
43509,5/16/2022 0:00
71525,5/17/2022 0:00
116651,5/18/2022 0:00
34471,5/19/2022 0:00
26274,5/20/2022 0:00
102630,5/21/2022 0:00
13658,5/16/2022 0:00
76532,5/17/2022 0:00
109645,5/18/2022 0:00
47604,5/19/2022 0:00
85835,5/20/2022 0:00
24151,5/21/2022 0:00
34624,5/16/2022 0:00
107945,5/17/2022 0:00
5823,5/18/2022 0:00
45235,5/19/2022 0:00
117219,5/20/2022 0:00
9752,5/21/2022 0:00
60864,5/16/2022 0:00
125290,5/17/2022 0:00
38569,5/18/2022 0:00
47196,5/19/2022 0:00
28100,5/20/2022 0:00
121192,5/21/2022 0:00
81302,5/16/2022 0:00
26845,5/17/2022 0:00
72079,5/18/2022 0:00
46480,5/19/2022 0:00
56881,5/20/2022 0:00
112340,5/21/2022 0:00
125067,5/16/2022 0:00
7018,5/17/2022 0:00
55910,5/18/2022 0:00
13161,5/19/2022 0:00
24741,5/20/2022 0:00
25789,5/21/2022 0:00
116885,5/16/2022 0:00
28932,5/17/2022 0:00
58714,5/18/2022 0:00
60776,5/19/2022 0:00
102425,5/20/2022 0:00
72312,5/21/2022 0:00
45912,5/16/2022 0:00
73419,5/17/2022 0:00
55392,5/18/2022 0:00
119981,5/19/2022 0:00
43093,5/20/2022 0:00
102611,5/21/2022 0:00
113471,5/16/2022 0:00
37003,5/17/2022 0:00
108530,5/18/2022 0:00
111679,5/19/2022 0:00
29014,5/20/2022 0:00
63080,5/21/2022 0:00
29999,5/16/2022 0:00
26939,5/17/2022 0:00
87776,5/18/2022 0:00
66530,5/19/2022 0:00
33268,5/20/2022 0:00
40364,5/21/2022 0:00
35992,5/16/2022 0:00
47246,5/17/2022 0:00
55031,5/18/2022 0:00
896,5/19/2022 0:00
87530,5/20/2022 0:00
50268,5/21/2022 0:00
47861,5/16/2022 0:00
111444,5/17/2022 0:00
86319,5/18/2022 0:00
111065,5/19/2022 0:00
91913,5/20/2022 0:00
74846,5/21/2022 0:00
31453,5/16/2022 0:00
69659,5/17/2022 0:00
106256,5/18/2022 0:00
56306,5/19/2022 0:00
56848,5/20/2022 0:00
116403,5/21/2022 0:00
60833,5/16/2022 0:00
24021,5/17/2022 0:00
105892,5/18/2022 0:00
36567,5/19/2022 0:00
96679,5/20/2022 0:00
121177,5/21/2022 0:00
120204,5/16/2022 0:00
18354,5/17/2022 0:00
25748,5/18/2022 0:00
113083,5/19/2022 0:00
68119,5/20/2022 0:00
34569,5/21/2022 0:00
101410,5/16/2022 0:00
83873,5/17/2022 0:00
62736,5/18/2022 0:00
