Eligible_id,Client_Income,Client_Income_Type,Active_Loan,Credit_Bureau,
1865,11250,Service,1,2,
128155,13500,Service,1,,
105927,38250,Commercial,0,,
222,20250,Govt Job,1,4,
92936,13500,Service,0,1,
35353,13500,Retired,1,1,
86225,11250,Govt Job,0,4,
64887,13500,Service,0,1,
64165,18000,Commercial,0,5,
83213,22500,Service,0,0,
122110,11250,Service,0,,
61623,20250,Service,0,,
72396,15750,Service,1,4,
70312,18000,Service,0,0,
9981,27000,Commercial,0,0,
120859,15750,Service,0,1,
55157,13500,Service,1,2,
106109,27000,Service,0,0,
26752,15750,Service,0,2,
98476,10350,Service,0,1,
74378,39600,Service,1,4,
78372,22500,Service,0,2,
101711,40500,Commercial,1,7,
96505,12150,Retired,,0,
104428,9000,Service,0,1,
47516,9000,Govt Job,1,1,
108550,7200,Retired,0,2,
45953,4500,Service,0,,
98319,17100,Retired,0,0,
76088,27000,Service,1,5,
14284,28800,Commercial,1,1,
28302,6750,Service,0,0,
71351,13500,Retired,0,,
87727,,Service,1,0,
17136,11250,Service,0,5,
91208,18000,Service,1,,
124112,8100,Retired,1,,
80730,,Service,0,1,
49273,16650,Service,0,1,
115301,13500,Service,0,1,
38587,10350,Service,0,,
87895,10350,Retired,0,1,
85512,27000,Service,,5,
33650,11025,Retired,1,2,
39121,8100,Retired,0,9,
76459,31500,,0,2,
63517,13050,Retired,0,,
32978,18000,Commercial,1,2,
25626,18000,Govt Job,0,7,
45085,20250,,0,0,
81104,,Commercial,1,2,
85455,8775,Govt Job,0,1,
52535,14400,Commercial,0,1,
72721,22500,Service,0,5,
38533,,Service,0,1,
75763,18000,Service,1,3,
125885,13500,Service,0,3,
9697,15750,Service,0,0,
84424,40050,Service,0,3,
39713,4500,Retired,1,5,
125081,20250,Retired,1,3,
13429,7650,Retired,0,6,
49169,6750,Retired,0,1,
58012,17100,Retired,0,2,
48541,11250,Commercial,0,3,
9576,13500,Service,,,
127620,11250,Commercial,0,1,
362,6300,Service,0,0,
116816,15750,Commercial,0,2,
9280,15750,Retired,0,2,
126460,22500,Govt Job,1,0,
21007,22500,Commercial,1,2,
106002,24750,Govt Job,1,0,
98853,18000,Service,0,,
60466,17100,Retired,0,3,
83911,23400,Retired,1,4,
1213,,Service,,,
24846,18000,Service,1,2,
90099,25200,Service,,2,
83621,18000,Service,1,1,
3215,4500,Service,0,0,
75851,9000,Retired,0,0,
20964,22500,Service,1,,
12857,7650,Retired,1,3,
88182,18000,,0,1,
88281,9000,Service,0,1,
81892,15750,Service,1,2,
16365,13500,Commercial,1,8,
47143,20250,Service,1,,
17182,20250,Service,0,,
95099,,Commercial,0,6,
77341,29250,Commercial,0,,
3422,5625,Retired,1,0,
129224,18000,Service,0,0,
71699,,Govt Job,0,0,
37245,11250,Commercial,1,,
99182,11250,Retired,0,1,
214,10800,Service,1,,
3820,11700,Retired,0,0,
38596,13500,Service,0,1,
8770,9000,Service,0,0,
122252,20250,Commercial,0,5,
31408,5625,Retired,0,2,
109888,9450,Service,0,2,
62782,13500,Commercial,1,4,
13958,15750,Commercial,1,1,
32537,7200,Service,0,2,
129411,11250,Service,0,0,
63763,15750,Commercial,0,1,
4561,22500,Service,0,0,
4835,11250,Commercial,0,0,
18164,14850,Service,1,0,
50311,11250,Service,0,1,
37466,13500,Retired,,3,
52281,22500,Service,1,1,
25237,13500,Service,1,1,
94126,36000,Service,0,2,
4650,11250,Service,0,2,
76682,15750,Commercial,0,2,
108951,9000,Commercial,0,1,
68472,11250,Service,0,0,
74283,,Service,1,0,
110455,11250,Service,0,2,
22978,13500,Service,1,,
11563,22500,Commercial,1,2,
86356,20250,,1,0,
8735,22500,Commercial,1,,
18739,14400,Retired,1,2,
16577,13500,Retired,1,0,
64264,22500,Service,0,0,
66237,5400,Retired,0,0,
118419,9000,Service,1,1,
71203,6750,Service,1,5,
105076,15750,Service,0,1,
75827,13500,Govt Job,1,0,
28519,18000,Service,0,9,
18590,18000,Commercial,1,1,
119919,13500,Commercial,1,1,
67407,36900,Service,0,,
46316,20250,,0,0,
120150,11250,Retired,0,,
102843,11250,,1,4,
52241,11700,,0,4,
1756,27000,Service,0,3,
90238,17100,Commercial,1,0,
88056,31500,,0,1,
14767,11250,Service,0,0,
33715,36000,Service,1,1,
104615,13500,Service,1,1,
66074,18000,Commercial,1,,
126500,9000,Retired,0,,
75685,29250,Service,1,3,
94411,15750,Retired,0,1,
50840,14400,Commercial,0,3,
10129,14850,Service,0,2,
84443,11250,Service,0,,
35782,45000,Commercial,0,2,
22504,11250,Service,0,2,
7536,8100,Service,0,0,
55659,12600,Service,0,3,
7102,15750,Service,0,3,
110812,8100,Service,0,0,
107707,13500,Service,0,1,
14329,9000,Retired,0,1,
6769,36900,Service,0,1,
73774,11250,,1,0,
14733,13500,,0,,
89742,11250,Service,0,4,
60026,5400,Retired,0,,
74777,24750,Govt Job,0,2,
