Loan_id,LoanAmount,Term,InterestRatePerYear ,Loan_Contract_Type,Process_date,Client_id,Repayment_id
83357,17120,59,12.16392574,CL,19/09/2019,70172,21540
75499,7133,59,6.564295831,CL,19/09/2019,5047,34382
66203,25291,59,14.72990011,RL,19/09/2019,110028,20993
71698,30781,59,10.52376733,CL,19/09/2019,24026,106966
98346,8878,58,9.997012984,CL,19/09/2019,119299,54152
99851,12147,58,5.89884425,CL,19/09/2019,111157,26463
117540,16214,58,7.403272861,CL,19/09/2019,82113,46257
87207,7569,36,10.51255521,CL,19/09/2019,96462,33133
12477,20332,58,10.89703199,CL,19/09/2019,79485,74876
102317,17636,59,12.52264684,CL,19/09/2019,65725,113702
42621,12429,58,10.1414895,CL,19/09/2019,34991,41096
62269,7309,58,11.17330666,CL,19/09/2019,51412,56695
9056,10509,58,9.020139472,RL,19/09/2019,98628,50895
10394,15433,59,10.21363584,CL,19/09/2019,83502,49983
36705,3789,58,19.8212646,CL,19/09/2019,95789,67231
15595,30998,59,15.1363303,CL,19/09/2019,100580,61852
78752,9250,36,11.67929775,CL,19/09/2019,71142,50265
44945,22248,59,12.12352819,CL,19/09/2019,127461,128622
19706,3114,59,25.48193674,CL,19/09/2019,70354,45431
27320,14142,59,5.341921371,CL,19/09/2019,66246,53334
32683,3962,59,9.824164222,CL,19/09/2019,39076,110659
121206,10756,59,12.70950545,CL,19/09/2019,22434,91069
54433,20706,58,16.25059749,CL,19/09/2019,43510,49490
39184,31572,58,11.95411569,CL,19/09/2019,114090,118151
51336,9769,58,12.45031207,RL,19/09/2019,105420,72718
34756,20078,59,14.50233451,CL,19/09/2019,102956,106072
6502,15550,58,11.95119755,CL,19/09/2019,18510,44266
14493,20464,59,9.713605101,RL,19/09/2019,14925,10303
43509,18286,59,9.732943028,CL,19/09/2019,118319,71407
71525,20157,59,11.00748091,CL,19/09/2019,75460,9327
116651,17070,59,19.30112235,CL,19/09/2019,48492,14107
34471,15317,58,10.76849491,CL,19/09/2019,27809,116555
26274,15998,58,18.82985279,CL,19/09/2019,70594,128279
102630,7821,36,14.08824584,CL,19/09/2019,30089,98088
13658,12134,59,17.75540361,CL,19/09/2019,58779,33281
76532,13575,59,12.34986589,CL,19/09/2019,79659,53291
109645,8951,59,13.46935923,CL,19/09/2019,110293,114640
47604,18258,59,11.5983009,RL,19/09/2019,48014,54847
85835,29633,58,13.58901316,CL,19/09/2019,96517,127058
24151,32067,59,8.469531506,CL,19/09/2019,64685,74327
34624,28339,59,24.05248256,CL,19/09/2019,64138,101661
107945,10804,59,9.413879801,CL,19/09/2019,60373,21674
5823,9619,59,16.5905086,CL,19/09/2019,14849,104092
45235,4905,59,13.40656369,RL,19/09/2019,28319,94846
117219,13194,58,9.12280589,CL,19/09/2019,103012,40291
9752,3831,59,13.07743452,CL,19/09/2019,124114,105288
60864,21504,59,12.11881804,CL,19/09/2019,107794,114395
125290,3965,59,10.1901367,CL,19/09/2019,81983,111902
38569,8625,59,12.52837949,CL,19/09/2019,53164,5347
47196,11905,59,9.367901782,CL,19/09/2019,82042,121038
28100,22216,59,12.10009237,CL,19/09/2019,72127,4057
121192,16118,59,5.561696801,CL,19/09/2019,113046,100325
81302,32124,59,10.26905375,CL,19/09/2019,1050,101987
26845,19229,59,12.23799711,CL,19/09/2019,54886,38266
72079,7636,59,11.42636396,RL,19/09/2019,125918,102085
46480,16464,36,9.730425862,CL,19/09/2019,7467,66616
56881,10885,59,16.73345552,CL,19/09/2019,78972,80062
112340,12569,59,21.0191273,CL,19/09/2019,126625,9909
125067,26138,58,11.49583386,CL,19/09/2019,114501,19650
7018,8320,59,11.73664428,RL,19/09/2019,114813,100963
55910,11898,59,15.92628888,CL,19/09/2019,32167,80614
13161,13786,58,6.342621131,CL,19/09/2019,68001,49624
24741,7493,59,8.245253806,CL,19/09/2019,117052,118333
25789,31494,59,11.76564287,CL,19/09/2019,8661,8830
116885,29701,59,11.18565022,CL,19/09/2019,57165,26642
28932,18092,59,11.71770273,RL,19/09/2019,78610,86990
58714,15265,59,6.545520818,CL,19/09/2019,51058,34450
60776,16150,59,13.00826262,RL,19/09/2019,92027,27615
102425,15593,58,19.17769173,CL,19/09/2019,115534,14617
72312,16177,59,9.460266612,CL,19/09/2019,9261,88492
45912,16674,59,9.995134391,CL,19/09/2019,61033,56905
73419,16587,59,9.418630775,CL,19/09/2019,75930,29843
55392,6846,58,9.278360511,CL,19/09/2019,112142,23931
119981,8221,59,12.28586765,CL,19/09/2019,24518,115246
43093,8338,58,10.8377583,CL,19/09/2019,112524,59554
102611,15202,59,10.02084496,CL,19/09/2019,101639,31238
113471,9527,58,12.25545361,CL,19/09/2019,85018,47514
37003,34346,58,13.9236017,CL,19/09/2019,106922,10558
108530,20085,58,15.56783784,CL,19/09/2019,32564,5991
111679,4193,59,10.45873868,CL,19/09/2019,92242,73023
29014,14778,59,15.95185859,CL,19/09/2019,73302,76066
63080,24695,59,17.63521918,CL,19/09/2019,42267,35214
29999,9266,59,9.207257549,CL,19/09/2019,121358,6373
26939,29317,58,8.682251369,,19/09/2019,65655,42508
87776,17951,59,16.1384776,CL,19/09/2019,88062,7956
66530,9065,59,10.27436077,CL,19/09/2019,91330,3155
33268,20489,59,8.506255997,CL,19/09/2019,22031,105385
40364,30662,59,10.97620753,CL,19/09/2019,27921,28228
35992,3220,59,12.73196711,CL,19/09/2019,51947,86085
47246,32353,58,16.0307809,CL,19/09/2019,40017,101789
55031,21391,58,7.796811946,CL,19/09/2019,76392,106569
896,27660,58,16.57101945,CL,19/09/2019,118486,112496
87530,29439,59,20.94405739,CL,19/09/2019,6012,25239
50268,29989,59,11.9717414,CL,19/09/2019,30183,78240
47861,23567,59,13.88919197,CL,19/09/2019,41652,89315
111444,20599,59,8.641831886,CL,19/09/2019,15138,81144
86319,9895,59,14.46242327,CL,19/09/2019,123589,56961
111065,26723,59,11.36266071,CL,19/09/2019,114534,3273
91913,32515,59,17.41266442,CL,19/09/2019,93076,85436
74846,21181,59,11.82422717,CL,19/09/2019,96963,92320
31453,33295,58,10.42833684,CL,19/09/2019,85494,108418
69659,14611,59,10.27666306,CL,19/09/2019,72989,80260
106256,34793,58,14.29311694,CL,19/09/2019,42357,70510
56306,15794,59,11.56327443,CL,19/09/2019,23040,118201
56848,28143,58,12.86631306,RL,19/09/2019,65420,124385
116403,10766,59,23.69955651,CL,19/09/2019,65045,85756
60833,14374,58,12.15792431,CL,19/09/2019,37373,54376
24021,28851,59,10.08435092,CL,19/09/2019,44405,128887
105892,21080,59,10.28933641,CL,19/09/2019,16653,66627
36567,20292,58,5.381753955,CL,19/09/2019,71655,35058
96679,28052,58,5.43749025,CL,19/09/2019,77591,91321
121177,19447,59,6.687185893,CL,19/09/2019,4585,19061
120204,24499,58,11.04272237,CL,19/09/2019,108347,32191
18354,34260,59,10.90555064,CL,19/09/2019,23400,41232
25748,21043,59,11.74539935,RL,19/09/2019,31010,95442
113083,21514,59,5.701930807,CL,19/09/2019,57513,15541
68119,15524,59,10.56176532,CL,19/09/2019,20979,4719
34569,30469,59,14.1891777,CL,19/09/2019,95841,86475
101410,9429,59,16.43112383,CL,19/09/2019,114684,64930
83873,2629,59,8.913440416,CL,19/09/2019,111667,10321
62736,16143,59,9.501943991,CL,19/09/2019,20101,20815
65414,21901,59,10.16377546,CL,19/09/2019,63212,32804
73478,33120,58,12.07925011,CL,19/09/2019,8256,101460
59871,9009,59,7.186428034,CL,19/09/2019,56161,30200
2838,23332,59,9.022758714,CL,19/09/2019,121196,74438
30137,12756,59,11.63339991,CL,19/09/2019,23788,26593
116780,19595,59,14.21865755,RL,19/09/2019,129579,94901
122395,9095,58,9.837805469,CL,19/09/2019,127516,41183
122353,29148,59,6.84229687,CL,19/09/2019,18012,47691
58556,11652,59,9.585722573,CL,19/09/2019,45561,66858
65443,20537,58,6.705474349,CL,19/09/2019,5228,37614
20765,7321,59,10.93261356,CL,19/09/2019,18311,76263
60739,11874,59,6.090686168,CL,19/09/2019,59891,3494
85340,9854,59,9.453593395,CL,19/09/2019,60651,30608
66955,30955,36,10.95610148,CL,19/09/2019,51013,27714
60101,5765,59,11.11168868,CL,19/09/2019,91746,2440
30395,2832,59,11.60904787,CL,19/09/2019,4233,89286
115772,8666,59,13.45771521,CL,19/09/2019,14187,40596
83400,30540,59,10.03586196,CL,19/09/2019,19669,113174
95149,9245,59,9.558915104,CL,19/09/2019,31147,15065
61765,5135,58,5.594571792,CL,19/09/2019,128842,60781
13032,8586,59,12.14435267,CL,19/09/2019,27562,82021
129655,19275,59,9.316588466,CL,19/09/2019,775,73598
8284,6036,58,10.45126261,CL,19/09/2019,14070,50054
9083,9297,58,8.125745744,CL,19/09/2019,106007,58863
45808,13217,58,8.597985253,CL,19/09/2019,116004,53564
62785,8425,59,16.05592014,CL,19/09/2019,68886,43835
102664,20881,59,8.751431441,RL,19/09/2019,72413,52921
41507,27917,59,10.45938817,CL,19/09/2019,73604,53791
125104,27758,59,10.08492809,CL,19/09/2019,48415,117946
