Partner_id,type,Partner_name,Rating_score
57599,Relative,Harry,4.17
117832,Alone,Habby,4.27
28108,Alone,Vin,4.03
128149,Alone,Michelle,3.84
82717,Alone,Tania,4.27
95463,Alone,Alba & Genesis,4.35
45792,Alone,Kailei,4.37
3474,Alone,Steve,3.94
100221,Alone,Jasper,3.87
49753,Alone,Molly,4.12
129375,Alone,Kay,3.9
117971,Alone,Stephan And Liz,4.3
116528,Alone,David,4.1
120981,Alone,Sara,3.85
107554,Alone,Corporate Housing,4.15
36133,Alone,Marianna,4.22
101879,Alone,One,3.77
27276,Relative,Stephanie,3.63
69004,Relative,Eugene,4.18
17535,Alone,Maya,3.91
50372,Relative,Sophie,3.9
16523,Alone,Timothy,4.13
34188,Alone,Marina,3.82
60406,Alone,Steven,3.83
50050,,Devon,4.13
71801,Alone,Jeremy & Laura,4.23
75200,Alone,Carolin,3.99
90229,Alone,Juliana,4.15
96758,,Hatsumi,3.89
81235,Alone,Jasmine,4.06
67012,Alone,Sasha,3.79
61304,Alone,Judy,4.09
106241,Kids,Virginie,4.02
41296,Relative,Franklin,4.27
83853,Alone,Tee,4.06
44490,Alone,Rebecca,4.14
6450,Alone,Anna,3.79
31361,Alone,Anthony,4.37
62001,Relative,Jonathan & Nancy,3.83
43329,Relative,Anne,3.7
114189,Alone,Dani,3.92
24068,Alone,Kara,4.27
44018,Alone,Chip,4.42
97653,Alone,Kara,4.22
116837,Alone,Kara,3.94
127908,Alone,Rebecca,3.98
42569,Alone,Kara,3.84
104873,Alone,Koji,4.04
79108,Relative,Kara,4.07
73139,Alone,Kara,3.82
35228,Relative,Kara,3.99
71924,Relative,Cinthia,4.18
87793,Alone,Sachea,3.92
4061,Alone,Julie,3.54
82730,Alone,Lin,3.97
42507,Alone,Josh & Jessica,4.1
37585,Alone,Julian,4.11
68634,Alone,Stephanie,4.3
45159,Alone,Yuan,4.03
91505,Alone,Kara,3.69
48396,Relative,Stephen,4.13
20153,Alone,Kara,4.21
69938,Alone,Pete,3.92
23078,Alone,Molly,4.09
16883,Alone,Sebastian,4.47
78467,Partner,David,4.31
52263,Alone,Avir,4.08
1890,Alone,BÃ¡rbara,4.05
128368,Alone,Tanya,3.95
52807,Others,Haydee,3.75
14019,Alone,Mariana,4.07
70507,Alone,Annette,4.16
101476,Alone,Michael,4.17
57735,Alone,Mark,4.19
36529,Relative,Adam,3.78
105533,Alone,Christen,4.21
34254,Alone,Thomas,3.9
73908,Alone,SaeHo,3.76
11481,Alone,Nka,4.51
67322,Alone,Sebastian,3.98
11545,Alone,Catharina,3.85
78444,Alone,Arthur,4.17
121339,Alone,Arthur,4.04
48556,Relative,Arthur,3.96
48025,Alone,Mia,3.65
14531,Alone,David,3.94
119364,Alone,Virginia,4.12
35899,Alone,Joey,4.03
77935,Alone,Tyrone,4.12
122466,Alone,Sushanti,4.15
67682,Alone,Iris,4.32
466,Relative,Iris,4.05
98021,Relative,Atul,3.99
64126,Alone,Eva,4.19
95200,Alone,Sophie,3.56
30189,Alone,Olivia Loksing,4.31
86892,Relative,Tracy,4.52
85149,Alone,Jarett,3.74
48128,Relative,Amber,4.15
89679,Relative,Florin,3.89
80347,Alone,Brian,4
129806,Alone,Ruokun,4.12
102738,Alone,Valerie,3.63
74852,Alone,Nicolas,4.25
19273,Alone,Christine,4.33
110785,Alone,Kristin,3.93
82712,Alone,Bryant,4.51
118282,Alone,R,4.06
72434,Alone,Albert,3.89
68351,Alone,Andrew,3.75
116430,Alone,Melissa,3.8
115854,Alone,Zhenni,4.2
16723,Relative,Mark,4.07
55899,Alone,Anna,4.33
