Repayment_id,repayment_amount,Default_Value
21540,53478,0
34382,55513,0
20993,65282,0
106966,46905,0
54152,51428,0
26463,57657,0
46257,48518,0
33133,48743,0
74876,50295,0
113702,51653,0
41096,47548,0
56695,54659,0
50895,48518,0
49983,49763,0
67231,42969,0
61852,45879,0
50265,48743,0
128622,51428,0
45431,57657,0
53334,47485,0
110659,51848,0
91069,50170,0
49490,54273,0
118151,49358,0
72718,53303,0
106072,41094,0
44266,55713,0
10303,49349,0
71407,50503,0
9327,55259,0
14107,50582,0
116555,50803,0
128279,46349,0
98088,49349,0
33281,49349,0
53291,45549,0
114640,39439,0
54847,49349,0
127058,34484,0
74327,42394,0
101661,40394,0
21674,45349,0
104092,36139,0
94846,56259,0
40291,57259,0
105288,41094,0
114395,46349,0
111902,56959,0
5347,45349,0
121038,54303,0
4057,58259,0
100325,44394,0
101987,49349,0
38266,47349,0
102085,53303,0
66616,52553,0
80062,48599,0
9909,48599,0
19650,57763,0
100963,42502,0
80614,50328,0
49624,46599,0
118333,32534,0
8830,49328,0
26642,20824,0
86990,59013,0
34450,38439,0
27615,32734,0
14617,61897,0
88492,56509,0
56905,50053,0
29843,64132,0
23931,42644,0
115246,59197,0
59554,72967,0
31238,49353,0
47514,55509,0
10558,45599,0
5991,58509,0
73023,45849,0
76066,54178,0
35214,57509,0
6373,52328,0
42508,58509,0
7956,54424,0
3155,56509,0
105385,58263,0
28228,44349,0
86085,54178,0
101789,55263,0
106569,82836,0
112496,57263,0
25239,47099,0
78240,60463,0
89315,42644,0
81144,34989,0
56961,47349,0
3273,50303,0
85436,32484,0
92320,41394,0
108418,52303,0
80260,46349,0
70510,46349,0
118201,47349,0
124385,46349,0
85756,50303,0
54376,46145,0
128887,41394,0
66627,41394,0
35058,46349,0
91321,51303,0
19061,46349,0
32191,41394,0
41232,42394,0
95442,36439,0
15541,45349,0
4719,51303,0
86475,37439,0
64930,52303,0
10321,42394,0
20815,50303,0
32804,47349,0
101460,46599,0
30200,51303,0
74438,51303,0
26593,47349,0
94901,46349,0
41183,26529,0
47691,51303,0
66858,50303,0
37614,47349,0
76263,50303,0
3494,51303,0
30608,52553,0
27714,51303,0
2440,54259,0
89286,41644,0
40596,48349,0
113174,57213,0
15065,63013,0
60781,56259,0
82021,58259,0
73598,40394,0
50054,58513,0
58863,41210,0
53564,58759,0
43835,53603,0
52921,53303,0
53791,53303,0
117946,53903,0
35615,51303,0
6322,48849,0
60250,47349,0
75829,48249,0
38238,47349,0
27442,58259,0
23782,46149,0
34568,53078,0
25568,41794,0
106235,51303,0
29891,52303,0
19741,55759,0
63927,53303,0
101766,48349,0
69145,30484,0
53787,53303,0
77461,58259,0
117747,41994,0
38952,47145,0
36695,46849,0
60217,51078,0
43491,51303,0
90890,56259,0
47491,48599,0
77081,59259,0
40499,48349,0
47915,53303,0
59348,53303,0
66276,50553,0
61593,49349,0
7477,52303,0
79714,37439,0
20603,48145,0
26234,36439,0
122737,52303,0
96699,54303,0
16782,50303,0
95312,56759,0
39510,70817,0
23791,51328,0
45703,46599,0
2763,53553,0
15085,60947,0
54742,56259,0
43231,42394,0
3734,47349,0
28488,44599,0
25799,47349,0
52177,42394,0
50703,56259,0
35191,52303,0
52577,51303,0
23135,49349,0
120017,59013,0
126919,51303,0
108505,59197,0
104525,63463,0
27896,59197,0
63363,54159,0
23402,45599,0
55117,50328,0
23551,54963,0
1077,65419,0
104473,57263,0
26016,57509,0
42685,55263,0
88600,40460,0
70264,55263,0
77200,67132,0
48721,34661,0
120863,45199,0
96507,57509,0
70554,60197,0
79404,59463,0
3774,52553,0
110985,48599,0
126182,68419,0
93971,52553,0
61760,59463,0
29378,60197,0
104597,53328,0
91826,57509,0
31195,54863,0
79046,62463,0
65226,53553,0
36929,57263,0
89474,61463,0
4529,56463,0
1615,55263,0
113875,60197,0
56459,62463,0
108366,59463,0
59304,42144,0
66041,45099,0
100186,60463,0
11135,59197,0
15137,54763,0
129378,57263,0
14476,50553,0
110862,55509,0
91733,49828,0
37312,54263,0
99110,65132,0
67855,62197,0
64879,56509,0
84155,46395,0
120913,50153,0
9307,68132,0
99404,59197,0
121899,64132,0
61488,52328,0
38976,49053,0
29967,60197,0
40954,64132,0
36077,59697,0
55335,59797,0
73257,61713,0
68792,30494,0
8386,39134,0
